date,count,drug,expected_count,residual,zscore,is_anomaly_zscore,isolation_forest_score,is_anomaly_isoforest,is_anomaly_high_confidence
2022-05-05,25,amoxicillin,28.69,-3.69,-0.69,False,-0.128,False,False
2022-05-06,28,amoxicillin,28.48,-0.48,-0.17,False,-0.131,False,False
2022-05-07,4,amoxicillin,7.97,-3.97,-0.71,False,-0.116,False,False
2022-05-08,3,amoxicillin,3.96,-0.96,-0.28,False,-0.129,False,False
2022-05-09,29,amoxicillin,25.94,3.06,0.38,False,-0.123,False,False
2022-05-10,21,amoxicillin,28.26,-7.26,-1.33,False,-0.135,False,False
2022-05-11,19,amoxicillin,26.74,-7.74,-1.35,False,-0.122,False,False
2022-05-12,25,amoxicillin,27.65,-2.65,-0.48,False,-0.14,False,False
2022-05-13,32,amoxicillin,27.49,4.51,0.7,False,-0.12,False,False
2022-05-14,6,amoxicillin,7.23,-1.23,-0.27,False,-0.121,False,False
2022-05-15,0,amoxicillin,3.35,-3.35,-0.59,False,-0.105,False,False
2022-05-16,24,amoxicillin,25.21,-1.21,-0.24,False,-0.121,False,False
2022-05-17,33,amoxicillin,27.32,5.68,0.88,False,-0.118,False,False
2022-05-18,28,amoxicillin,26.44,1.56,0.3,False,-0.126,False,False
2022-05-19,21,amoxicillin,27.8,-6.8,-1.14,False,-0.134,False,False
2022-05-20,26,amoxicillin,27.44,-1.44,-0.09,False,-0.137,False,False
2022-05-21,10,amoxicillin,6.88,3.12,0.87,False,-0.116,False,False
2022-05-22,2,amoxicillin,3.22,-1.22,-0.0,False,-0.133,False,False
2022-05-23,34,amoxicillin,25.18,8.82,1.88,False,-0.088,False,False
2022-05-24,20,amoxicillin,27.78,-7.78,-1.31,False,-0.129,False,False
2022-05-25,29,amoxicillin,26.24,2.76,0.8,False,-0.132,False,False
2022-05-26,22,amoxicillin,27.66,-5.66,-0.85,False,-0.138,False,False
2022-05-27,26,amoxicillin,27.36,-1.36,-0.07,False,-0.134,False,False
2022-05-28,2,amoxicillin,6.8,-4.8,-0.74,False,-0.103,False,False
2022-05-29,2,amoxicillin,2.75,-0.75,0.23,False,-0.122,False,False
2022-05-30,20,amoxicillin,24.74,-4.74,-0.74,False,-0.11,False,False
2022-05-31,31,amoxicillin,26.68,4.32,1.34,False,-0.127,False,False
2022-06-01,35,amoxicillin,25.73,9.27,2.22,False,-0.096,False,False
2022-06-02,20,amoxicillin,27.46,-7.46,-1.37,False,-0.123,False,False
2022-06-03,27,amoxicillin,27.07,-0.07,0.21,False,-0.127,False,False
2022-06-04,7,amoxicillin,6.58,0.42,0.28,False,-0.119,False,False
2022-06-05,0,amoxicillin,2.79,-2.79,-0.38,False,-0.105,False,False
2022-06-06,26,amoxicillin,24.68,1.32,0.46,False,-0.125,False,False
2022-06-07,22,amoxicillin,26.91,-4.91,-0.84,False,-0.134,False,False
2022-06-08,12,amoxicillin,25.51,-13.51,-2.31,False,-0.06,False,False
2022-06-09,22,amoxicillin,26.13,-4.13,-0.54,False,-0.118,False,False
2022-06-10,18,amoxicillin,25.9,-7.9,-1.27,False,-0.078,False,False
2022-06-11,5,amoxicillin,5.03,-0.03,0.25,False,-0.083,False,False
2022-06-12,2,amoxicillin,1.21,0.79,0.44,False,-0.071,False,False
2022-06-13,12,amoxicillin,23.28,-11.28,-1.78,False,0.013,True,False
2022-06-14,33,amoxicillin,24.89,8.11,1.69,False,-0.064,False,False
2022-06-15,28,amoxicillin,24.13,3.87,0.89,False,-0.116,False,False
2022-06-16,28,amoxicillin,25.6,2.4,0.67,False,-0.138,False,False
2022-06-17,22,amoxicillin,25.69,-3.69,-0.39,False,-0.134,False,False
2022-06-18,8,amoxicillin,5.02,2.98,0.75,False,-0.123,False,False
2022-06-19,1,amoxicillin,1.35,-0.35,0.14,False,-0.123,False,False
2022-06-20,22,amoxicillin,23.36,-1.36,-0.01,False,-0.128,False,False
2022-06-21,28,amoxicillin,25.46,2.54,0.67,False,-0.132,False,False
2022-06-22,37,amoxicillin,24.43,12.57,2.35,False,-0.093,False,False
2022-06-23,22,amoxicillin,26.32,-4.32,-0.6,False,-0.145,False,False
2022-06-24,21,amoxicillin,26.09,-5.09,-0.68,False,-0.132,False,False
2022-06-25,6,amoxicillin,5.35,0.65,0.29,False,-0.121,False,False
2022-06-26,3,amoxicillin,1.57,1.43,0.41,False,-0.131,False,False
2022-06-27,18,amoxicillin,23.66,-5.66,-0.84,False,-0.11,False,False
2022-06-28,40,amoxicillin,25.55,14.45,2.34,False,-0.056,False,False
2022-06-29,26,amoxicillin,25.1,0.9,0.18,False,-0.133,False,False
2022-06-30,31,amoxicillin,26.43,4.57,0.76,False,-0.127,False,False
2022-07-01,29,amoxicillin,26.62,2.38,0.46,False,-0.12,False,False
2022-07-02,8,amoxicillin,6.25,1.75,0.32,False,-0.11,False,False
2022-07-03,0,amoxicillin,2.52,-2.52,-0.39,False,-0.087,False,False
2022-07-04,25,amoxicillin,24.42,0.58,0.13,False,-0.106,False,False
2022-07-05,15,amoxicillin,26.62,-11.62,-1.77,False,-0.111,False,False
2022-07-06,17,amoxicillin,24.89,-7.89,-1.1,False,-0.109,False,False
2022-07-07,21,amoxicillin,25.79,-4.79,-0.62,False,-0.114,False,False
2022-07-08,30,amoxicillin,25.53,4.47,0.78,False,-0.103,False,False
2022-07-09,3,amoxicillin,5.26,-2.26,-0.35,False,-0.094,False,False
2022-07-10,0,amoxicillin,1.33,-1.33,-0.24,False,-0.084,False,False
2022-07-11,26,amoxicillin,23.29,2.71,0.44,False,-0.091,False,False
2022-07-12,18,amoxicillin,25.59,-7.59,-1.25,False,-0.102,False,False
2022-07-13,19,amoxicillin,24.06,-5.06,-0.91,False,-0.104,False,False
2022-07-14,29,amoxicillin,25.1,3.9,0.71,False,-0.132,False,False
2022-07-15,21,amoxicillin,25.26,-4.26,-0.71,False,-0.118,False,False
2022-07-16,5,amoxicillin,4.57,0.43,0.15,False,-0.119,False,False
2022-07-17,1,amoxicillin,0.77,0.23,0.09,False,-0.115,False,False
2022-07-18,20,amoxicillin,22.81,-2.81,-0.43,False,-0.093,False,False
2022-07-19,16,amoxicillin,24.84,-8.84,-1.43,False,-0.087,False,False
2022-07-20,23,amoxicillin,23.25,-0.25,0.08,False,-0.113,False,False
2022-07-21,25,amoxicillin,24.52,0.48,0.22,False,-0.088,False,False
2022-07-22,26,amoxicillin,24.51,1.49,0.52,False,-0.116,False,False
2022-07-23,2,amoxicillin,4.1,-2.1,-0.21,False,-0.094,False,False
2022-07-24,1,amoxicillin,0.18,0.82,0.34,False,-0.113,False,False
2022-07-25,18,amoxicillin,22.25,-4.25,-0.64,False,-0.083,False,False
2022-07-26,33,amoxicillin,24.21,8.79,1.8,False,-0.117,False,False
2022-07-27,31,amoxicillin,23.48,7.52,1.44,False,-0.115,False,False
2022-07-28,26,amoxicillin,25.13,0.87,0.36,False,-0.134,False,False
2022-07-29,20,amoxicillin,25.14,-5.14,-0.88,False,-0.114,False,False
2022-07-30,12,amoxicillin,4.41,7.59,1.74,False,-0.102,False,False
2022-07-31,1,amoxicillin,0.96,0.04,0.21,False,-0.129,False,False
2022-08-01,19,amoxicillin,22.99,-3.99,-0.58,False,-0.117,False,False
2022-08-02,26,amoxicillin,24.96,1.04,0.43,False,-0.123,False,False
2022-08-03,34,amoxicillin,23.85,10.15,2.06,False,-0.104,False,False
2022-08-04,33,amoxicillin,25.63,7.37,1.48,False,-0.112,False,False
2022-08-05,24,amoxicillin,25.96,-1.96,-0.43,False,-0.131,False,False
2022-08-06,8,amoxicillin,5.38,2.62,0.47,False,-0.12,False,False
2022-08-07,0,amoxicillin,1.69,-1.69,-0.39,False,-0.104,False,False
2022-08-08,17,amoxicillin,23.64,-6.64,-1.36,False,-0.104,False,False
2022-08-09,26,amoxicillin,25.48,0.52,0.09,False,-0.133,False,False
2022-08-10,21,amoxicillin,24.34,-3.34,-0.66,False,-0.131,False,False
2022-08-11,25,amoxicillin,25.46,-0.46,-0.12,False,-0.126,False,False
2022-08-12,28,amoxicillin,25.41,2.59,0.49,False,-0.121,False,False
2022-08-13,5,amoxicillin,5.05,-0.05,-0.06,False,-0.121,False,False
2022-08-14,2,amoxicillin,1.24,0.76,0.08,False,-0.125,False,False
2022-08-15,9,amoxicillin,23.3,-14.3,-2.73,True,-0.054,False,False
2022-08-16,18,amoxicillin,24.77,-6.77,-1.2,False,-0.086,False,False
2022-08-17,20,amoxicillin,23.28,-3.28,-0.55,False,-0.079,False,False
2022-08-18,20,amoxicillin,24.4,-4.4,-0.81,False,-0.07,False,False
2022-08-19,17,amoxicillin,24.16,-7.16,-1.26,False,0.0,True,False
2022-08-20,5,amoxicillin,3.32,1.68,0.39,False,-0.02,False,False
2022-08-21,2,amoxicillin,-0.41,2.41,0.52,False,-0.009,False,False
2022-08-22,18,amoxicillin,21.73,-3.73,-0.62,False,-0.024,False,False
2022-08-23,23,amoxicillin,23.71,-0.71,-0.05,False,-0.051,False,False
2022-08-24,39,amoxicillin,22.52,16.48,2.65,True,-0.061,False,False
2022-08-25,21,amoxicillin,24.61,-3.61,-0.57,False,-0.137,False,False
2022-08-26,23,amoxicillin,24.41,-1.41,-0.16,False,-0.131,False,False
2022-08-27,2,amoxicillin,3.85,-1.85,-0.22,False,-0.098,False,False
2022-08-28,7,amoxicillin,-0.06,7.06,1.23,False,-0.116,False,False
2022-08-29,31,amoxicillin,22.32,8.68,1.49,False,-0.115,False,False
2022-08-30,21,amoxicillin,24.91,-3.91,-0.61,False,-0.125,False,False
2022-08-31,10,amoxicillin,23.56,-13.56,-2.02,False,-0.062,False,False
2022-09-01,28,amoxicillin,24.17,3.83,0.67,False,-0.13,False,False
2022-09-02,27,amoxicillin,24.34,2.66,0.55,False,-0.132,False,False
2022-09-03,4,amoxicillin,3.98,0.02,0.17,False,-0.117,False,False
2022-09-04,0,amoxicillin,0.17,-0.17,0.13,False,-0.097,False,False
2022-09-05,15,amoxicillin,22.18,-7.18,-0.98,False,-0.065,False,False
2022-09-06,24,amoxicillin,24.0,0.0,0.2,False,-0.099,False,False
2022-09-07,31,amoxicillin,22.84,8.16,1.43,False,-0.114,False,False
2022-09-08,28,amoxicillin,24.52,3.48,0.65,False,-0.14,False,False
2022-09-09,24,amoxicillin,24.66,-0.66,-0.02,False,-0.134,False,False
2022-09-10,3,amoxicillin,4.14,-1.14,-0.1,False,-0.111,False,False
2022-09-11,3,amoxicillin,0.27,2.73,0.52,False,-0.129,False,False
2022-09-12,27,amoxicillin,22.43,4.57,0.79,False,-0.131,False,False
2022-09-13,31,amoxicillin,24.82,6.18,1.0,False,-0.13,False,False
2022-09-14,28,amoxicillin,23.96,4.04,0.62,False,-0.132,False,False
2022-09-15,25,amoxicillin,25.44,-0.44,-0.19,False,-0.146,False,False
2022-09-16,25,amoxicillin,25.4,-0.4,-0.2,False,-0.133,False,False
2022-09-17,4,amoxicillin,4.89,-0.89,-0.31,False,-0.113,False,False
2022-09-18,0,amoxicillin,1.03,-1.03,-0.38,False,-0.109,False,False
2022-09-19,21,amoxicillin,23.01,-2.01,-0.54,False,-0.128,False,False
2022-09-20,28,amoxicillin,25.07,2.93,0.37,False,-0.134,False,False
2022-09-21,23,amoxicillin,24.06,-1.06,-0.39,False,-0.133,False,False
2022-09-22,24,amoxicillin,25.29,-1.29,-0.43,False,-0.138,False,False
2022-09-23,20,amoxicillin,25.2,-5.2,-1.18,False,-0.121,False,False
2022-09-24,5,amoxicillin,4.46,0.54,0.03,False,-0.119,False,False
2022-09-25,2,amoxicillin,0.67,1.33,0.18,False,-0.12,False,False
2022-09-26,42,amoxicillin,22.76,19.24,3.18,True,-0.03,False,False
2022-09-27,27,amoxicillin,25.87,1.13,0.02,False,-0.119,False,False
