date,count,drug
2023-08-12,16,metformin
2023-08-13,9,metformin
2023-08-14,90,metformin
2023-08-15,30,metformin
2023-08-16,102,metformin
2023-08-17,76,metformin
2023-08-18,68,metformin
2023-08-19,17,metformin
2023-08-20,12,metformin
2023-08-21,89,metformin
2023-08-22,60,metformin
2023-08-23,77,metformin
2023-08-24,47,metformin
2023-08-25,87,metformin
2023-08-26,20,metformin
2023-08-27,12,metformin
2023-08-28,53,metformin
2023-08-29,55,metformin
2023-08-30,54,metformin
2023-08-31,61,metformin
2023-09-01,56,metformin
2023-09-02,11,metformin
2023-09-03,8,metformin
2023-09-04,55,metformin
2023-09-05,46,metformin
2023-09-06,49,metformin
2023-09-07,50,metformin
2023-09-08,54,metformin
2023-09-09,11,metformin
2023-09-10,5,metformin
2023-09-11,72,metformin
2023-09-12,64,metformin
2023-09-13,66,metformin
2023-09-14,42,metformin
2023-09-15,45,metformin
2023-09-16,11,metformin
2023-09-17,4,metformin
2023-09-18,58,metformin
2023-09-19,56,metformin
2023-09-20,62,metformin
2023-09-21,66,metformin
2023-09-22,47,metformin
2023-09-23,15,metformin
2023-09-24,4,metformin
2023-09-25,60,metformin
2023-09-26,65,metformin
2023-09-27,63,metformin
2023-09-28,54,metformin
2023-09-29,69,metformin
2023-09-30,21,metformin
2023-10-01,3,metformin
2023-10-02,32,metformin
2023-10-03,66,metformin
2023-10-04,117,metformin
2023-10-05,57,metformin
2023-10-06,75,metformin
2023-10-07,17,metformin
2023-10-08,3,metformin
2023-10-09,48,metformin
2023-10-10,35,metformin
2023-10-11,50,metformin
2023-10-12,66,metformin
2023-10-13,61,metformin
2023-10-14,7,metformin
2023-10-15,6,metformin
2023-10-16,77,metformin
2023-10-17,71,metformin
2023-10-18,56,metformin
2023-10-19,85,metformin
2023-10-20,95,metformin
2023-10-21,26,metformin
2023-10-22,5,metformin
2023-10-23,64,metformin
2023-10-24,40,metformin
2023-10-25,59,metformin
2023-10-26,68,metformin
2023-10-27,67,metformin
2023-10-28,20,metformin
2023-10-29,5,metformin
2023-10-30,66,metformin
2023-10-31,73,metformin
2023-11-01,53,metformin
2023-11-02,51,metformin
2023-11-03,79,metformin
2023-11-04,14,metformin
2023-11-05,7,metformin
2023-11-06,64,metformin
2023-11-07,67,metformin
2023-11-08,72,metformin
2023-11-09,65,metformin
2023-11-10,46,metformin
2023-11-11,8,metformin
2023-11-12,2,metformin
2023-11-13,52,metformin
2023-11-14,59,metformin
2023-11-15,61,metformin
2023-11-16,67,metformin
2023-11-17,80,metformin
2023-11-18,28,metformin
2023-11-20,99,metformin
2023-11-21,69,metformin
2023-11-22,73,metformin
2023-11-23,50,metformin
2023-11-24,116,metformin
2023-11-25,18,metformin
2023-11-26,2,metformin
2023-11-27,61,metformin
2023-11-28,74,metformin
2023-11-29,94,metformin
2023-11-30,81,metformin
2023-12-01,89,metformin
2023-12-02,22,metformin
2023-12-03,16,metformin
2023-12-04,83,metformin
2023-12-05,72,metformin
2023-12-06,68,metformin
2023-12-07,82,metformin
2023-12-08,69,metformin
2023-12-09,5,metformin
2023-12-10,14,metformin
2023-12-11,73,metformin
2023-12-12,70,metformin
2023-12-13,50,metformin
2023-12-14,52,metformin
2023-12-15,79,metformin
2023-12-18,98,metformin
2023-12-19,96,metformin
2023-12-20,110,metformin
2023-12-21,88,metformin
2023-12-22,80,metformin
2023-12-23,11,metformin
2023-12-24,8,metformin
2023-12-25,27,metformin
2023-12-26,58,metformin
2023-12-27,55,metformin
2023-12-28,63,metformin
2023-12-29,51,metformin
2023-12-30,8,metformin
2023-12-31,3,metformin
2024-01-01,20,metformin
2024-01-02,60,metformin
2024-01-03,48,metformin
2024-01-04,57,metformin
2024-01-05,83,metformin
2024-01-06,12,metformin
2024-01-07,3,metformin
2024-01-08,70,metformin
2024-01-09,69,metformin
2024-01-10,75,metformin
2024-01-11,67,metformin
2024-01-12,64,metformin
2024-01-13,10,metformin
2024-01-14,7,metformin
2024-01-15,48,metformin
2024-01-16,63,metformin
2024-01-17,65,metformin
2024-01-18,62,metformin
2024-01-19,63,metformin
2024-01-20,17,metformin
2024-01-21,9,metformin
2024-01-22,57,metformin
2024-01-23,66,metformin
2024-01-24,84,metformin
2024-01-25,88,metformin
2024-01-26,35,metformin
2024-01-27,1,metformin
2024-01-28,4,metformin
2024-01-29,67,metformin
2024-01-30,99,metformin
2024-01-31,90,metformin
2024-02-01,66,metformin
2024-02-02,58,metformin
2024-02-03,18,metformin
2024-02-04,28,metformin
2024-02-05,66,metformin
2024-02-06,47,metformin
2024-02-07,66,metformin
2024-02-08,53,metformin
2024-02-09,63,metformin
2024-02-10,11,metformin
2024-02-11,5,metformin
2024-02-12,60,metformin
2024-02-13,90,metformin
2024-02-14,98,metformin
2024-02-15,60,metformin
2024-02-16,83,metformin
2024-02-17,9,metformin
2024-02-18,18,metformin
2024-02-19,78,metformin
2024-02-20,68,metformin
2024-02-21,72,metformin
2024-02-22,67,metformin
2024-02-23,69,metformin
2024-02-24,5,metformin
2024-02-25,7,metformin
2024-02-26,55,metformin
